,title,subtitles,link
35,WELCOME BONUS,Get £30 in free bets plus extra £10 casino bonus with talkSPORT BET,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
36,TOTELY GREAT,Get £40 welcome bonus when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
37,MEGA MGM,Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM,https://www.thesun.co.uk/sport/28311103/betmgm-free-bets-football-bonus-offer/
38,SING WHEN YOU'RE TWINNING,Real Madrid cult heroes reunite for Christmas thanks to twin Wags,https://www.thesun.co.uk/sport/32499324/real-madrid-carvajal-joselu-twin-wags/
39,CLOCK TICKING,Olmo's 'agent arrives in Manchester' with Barcelona star available for FREE,https://www.thesun.co.uk/sport/32489733/dani-olmo-man-utd-man-city-arsenal-barcelona/
40,TOON FURORE,Newcastle assistant Tindall sent off at half-time after furious tunnel bust-up,https://www.thesun.co.uk/sport/32491529/jason-tindall-newcastle-red-card-aston-villa-analyst/
41,BAAH HUMBUG,Watford star CHASED by Pompey players & sent off over controversial celebration,https://www.thesun.co.uk/sport/32492737/watford-portsmouth-kwadwo-baah-dance-fortnite/
42,FOG SAKE,Fans fuming over Liverpool v Leicester clash after 'spending night watching fog',https://www.thesun.co.uk/sport/32494769/fog-prime-video-liverpool-leicester/
43,MINI ME MERCS,Phil Foden’s kids take a spin in custom-built mini Mercedes G-Wagons,https://www.thesun.co.uk/sport/32494283/phil-foden-kids-mini-mercedes-g-wagons/
44,PLEASE SPEND,Guardiola reveals City players are BEGGING club to buy new stars in January,https://www.thesun.co.uk/sport/32489846/pep-guardiola-man-city-january-transfer-window/
45,TWO GOOD,'He might be worth £200million one day' says ex-United star stunned by Palmer,https://www.thesun.co.uk/sport/32493043/cole-palmer-chelsea-worth-man-utd/
46,CUN DO ATTITUDE,Arsenal 'interested in Matheus Cunha transfer' and consider January move,https://www.thesun.co.uk/sport/32494614/arsenal-matheus-cunha-transfer-january-wolves/
47,TUNNEL VISION,Guardiola's 'acrimonious' reaction to De Bruyne spotted after at City draw,https://www.thesun.co.uk/sport/32491316/pep-guardiola-kevin-de-bruyne-tunnel-everton/
48,JHON AND OFF,Villa star Duran SENT OFF for moment of madness that left Newcastle fuming,https://www.thesun.co.uk/sport/32491172/aston-villa-jhon-duran-sent-off-newcastle/
49,NO WAY WIL,Zaha BLOCKED from PL return due to little-known rule but may make shock move,https://www.thesun.co.uk/sport/32490923/wilfried-zaha-blocked-premier-league-return-rule-transfer/
50,COLE RUNNINGS,Cole Palmer breaks 23-year Chelsea record after goal against Fulham,https://www.thesun.co.uk/sport/32491786/cole-palmer-breaks-chelsea-record-fulham/
51,FED UP,Federico Chiesa hit with another setback on miserable start to Liverpool career,https://www.thesun.co.uk/sport/32490277/federico-chiesa-setback-ill-liverpool/
52,BRANCHING OUT,Fans in stitches at Harry Kane’s Merry Christmas social media post,https://www.thesun.co.uk/sport/32487177/harry-kane-christmas-tree-message/
53,MATCHY,Coleen Rooney reunites with husband Wayne for sweet matching PJs pics with the kids,https://www.thesun.co.uk/tvandshowbiz/32491967/coleen-rooney-reunites-husband-wayne-matching-pjs-christmas/
54,THAT'S YOUR LAUT,Chelsea ready to 'offer three players and cash' for Inter Milan captain,https://www.thesun.co.uk/sport/32489136/chelsea-lautaro-martinez-swap-deal-transfer/
55,RED ALERT,Man Utd legend 'not sure' Ruben Amorim is right man to develop young talent,https://www.thesun.co.uk/sport/32489847/man-utd-lee-sharpe-amorim-academy/
56,BILLIONAIRE BRIGADE,Ratcliffe 'wanted Musk and Bezos to help fund Man Utd stadium',https://www.thesun.co.uk/sport/32474471/sir-jim-ratcliffe-elon-musk-bezos-man-utd-stadium/
57,BALL OVER,Joshua Zirkzee 'splits from long-term model girlfriend',https://www.thesun.co.uk/sport/32475639/man-utd-joshua-zirkzee-model-girlfriend-transfer-celina-jada-kerr/
58,DOUBLE DEAL,Mr Vegas bonus: Get 100% up to £200 on your first deposit PLUS 11 free spins,https://www.thesun.co.uk/betting/31316567/mr-vegas-welcome-bonus-offer-free-spins-deposit/
59,CROWN DUELZ,Duelz Casino: Sign up for a £100 bonus and 100 free spins this November,https://www.thesun.co.uk/betting/31309930/duelz-casino-sign-up-bonus-free-spins/
60,TOP £10,The best online casinos for free spins and bonuses from £10 deposits,https://www.thesun.co.uk/betting/30944508/best-online-casino-free-spins-bonuses-10-deposits/
61,LOAN RANGER,Man Utd will let Marcus Rashford leave on LOAN in January - with one condition,https://www.thesun.co.uk/sport/32423627/man-utd-loan-deal-marcus-rashford-january/
62,WREX NEXT?,Ex-England international eyed by Hollywood-owned Wrexham for January transfer,https://www.thesun.co.uk/sport/32482523/patrick-bamford-wrexham-january-transfer-england/
63,MAD HAUS,Cunha drops message over future with Man Utd and Arsenal 'chasing January move',https://www.thesun.co.uk/sport/32505128/man-utd-transfer-arsenal-matheus-cunha/
64,NEW BOY,Man City transfer blow as star midfielder says he 'feels at home' where he is,https://www.thesun.co.uk/sport/32490000/man-city-bruno-guimaraes-newcastle-transfer/
